,customer_id,age,gender,tenure_months,contract_type,payment_method,has_internet,monthly_charges,total_charges,churn
31,CUST1032,30.0,Male,12.0,Month-to-Month,Credit card,Yes,96.0,2812.9114925373137,Yes
32,CUST1033,46.0,Male,65.0,Two year,Mailed check,Yes,73.33,4766.45,No
33,CUST1034,74.0,Male,25.0,One year,Mailed check,Yes,59.24,1481.0,No
34,CUST1035,45.0,Female,38.0,One year,Electronic check,No,86.03,3269.14,No
35,CUST1036,47.0,unknown,12.0,Month-to-Month,Bank transfer,No,103.24,2812.9114925373137,No
36,CUST1037,43.0,Female,25.0,Two year,Credit card,No,56.6,2812.9114925373137,No
37,CUST1038,63.0,Female,42.0,Month-to-Month,Electronic check,Yes,116.08,4875.36,Yes
38,CUST1039,23.0,Male,5.0,Two year,Electronic check,No,101.98,2812.9114925373137,No
39,CUST1040,46.0,Male,63.0,Month-to-Month,Electronic check,Yes,99.96,2812.9114925373137,Yes
40,CUST1041,35.0,unknown,11.0,Month-to-Month,Credit card,No,42.24,464.64,No
41,CUST1042,18.0,Male,53.0,Month-to-Month,Bank transfer,Yes,72.69,3852.57,No
42,CUST1043,34.0,Female,25.0,Two year,Credit card,No,40.59,1014.75,Yes
43,CUST1044,40.0,Male,4.0,Month-to-Month,Electronic check,Yes,75.1,2812.9114925373137,No
44,CUST1045,46.0,unknown,55.0,Month-to-Month,Electronic check,No,117.03,6436.65,No
45,CUST1046,39.0,unknown,17.0,Two year,Credit card,No,32.98,560.66,No
46,CUST1047,28.0,Male,48.0,Two year,Credit card,No,89.27,2812.9114925373137,No
47,CUST1048,28.0,Female,0.0,Two year,Electronic check,Yes,52.35,2812.9114925373137,No
48,CUST1049,40.0,Male,42.0,Month-to-Month,Mailed check,Yes,70.28,2951.76,No
49,CUST1050,67.0,Male,33.0,One year,Mailed check,Yes,24.17,797.61,Yes
50,CUST1051,58.0,Male,67.0,Month-to-Month,Mailed check,No,52.61,3524.87,Yes
51,CUST1052,5.0,unknown,18.0,Month-to-Month,Electronic check,No,71.1637037037037,2812.9114925373137,No
52,CUST1053,46.0,Male,57.0,One year,Credit card,Yes,24.19,2812.9114925373137,No
53,CUST1054,71.0,Male,6.0,Month-to-Month,Electronic check,No,68.93,2812.9114925373137,Yes
54,CUST1055,46.0,Male,11.0,Month-to-Month,Electronic check,No,67.39,741.29,No
55,CUST1056,64.0,Female,58.0,Month-to-Month,Credit card,No,111.05,6440.9,No
56,CUST1057,130.0,Female,57.0,One year,Electronic check,Yes,85.15,2812.9114925373137,No
57,CUST1058,26.0,Female,7.0,Two year,Electronic check,Yes,89.22,624.54,No
58,CUST1059,36.0,Female,59.0,Month-to-Month,Bank transfer,Yes,117.81,6950.79,Yes
59,CUST1060,47.0,Male,57.0,Month-to-Month,Bank transfer,No,27.46,1565.22,No
60,CUST1061,34.0,Female,65.0,Month-to-Month,Electronic check,Yes,43.14,2812.9114925373137,Yes
61,CUST1062,28.0,Female,57.0,Two year,Electronic check,No,61.62,3512.34,Yes
62,CUST1063,71.0,Male,41.0,Month-to-Month,Credit card,No,91.3,3743.3,Yes
63,CUST1064,22.0,Female,9.0,Month-to-Month,Electronic check,Yes,105.43,948.87,Yes
64,CUST1065,130.0,Male,19.0,Two year,Mailed check,Yes,51.56,2812.9114925373137,Yes
65,CUST1066,130.0,Female,70.0,One year,Electronic check,Yes,24.95,2812.9114925373137,No
66,CUST1067,66.0,unknown,36.0,Month-to-Month,Credit card,No,37.08,1334.88,Yes
67,CUST1068,37.0,unknown,33.0,One year,Electronic check,No,75.73,2499.09,No
68,CUST1069,59.0,Male,26.0,Month-to-Month,Credit card,No,65.3,2812.9114925373137,No
69,CUST1070,46.0,Female,31.0,One year,Electronic check,Yes,29.11,902.41,Yes
70,CUST1071,5.0,Female,2.0,Month-to-Month,Mailed check,No,72.42,144.84,Yes
71,CUST1072,66.0,Female,57.0,Two year,Bank transfer,No,70.34,2812.9114925373137,Yes
72,CUST1073,75.0,Female,51.0,Month-to-Month,Electronic check,No,101.43,5172.93,Yes
73,CUST1074,45.0,Male,62.0,Month-to-Month,Mailed check,No,72.79,2812.9114925373137,No
74,CUST1075,68.0,Female,19.0,Month-to-Month,Electronic check,Yes,114.15,2168.85,No
75,CUST1076,67.0,Male,16.0,Month-to-Month,Credit card,No,91.5,1464.0,No
76,CUST1077,58.0,unknown,14.0,Month-to-Month,Electronic check,Yes,114.35,2812.9114925373137,Yes
77,CUST1078,5.0,Male,1.0,Two year,Mailed check,Yes,115.89,2812.9114925373137,No
78,CUST1079,46.0,Female,3.0,Two year,Credit card,Yes,39.41,118.23,Yes
79,CUST1080,130.0,Female,47.0,Month-to-Month,Credit card,No,53.81,2529.07,No
80,CUST1081,30.0,Male,64.0,One year,Mailed check,No,51.17,3274.88,No
81,CUST1082,32.0,Male,57.0,Month-to-Month,Credit card,No,109.65,2812.9114925373137,Yes
82,CUST1083,56.0,Female,6.0,Month-to-Month,Credit card,No,61.54,369.24,No
83,CUST1084,46.0,unknown,14.0,One year,Electronic check,No,71.1637037037037,2812.9114925373137,No
84,CUST1085,20.0,unknown,48.0,Two year,Mailed check,No,30.9,1483.2,Yes
85,CUST1086,40.0,Male,71.0,Month-to-Month,Electronic check,No,102.16,7253.36,Yes
86,CUST1087,63.0,Female,47.0,Month-to-Month,Bank transfer,Yes,56.42,2651.74,No
87,CUST1088,130.0,Female,5.0,Month-to-Month,Mailed check,Yes,100.33,501.65,No
88,CUST1089,65.0,Male,43.0,Two year,Electronic check,Yes,24.36,1047.48,Yes
89,CUST1090,5.0,unknown,8.0,One year,Credit card,No,91.56,2812.9114925373137,Yes
90,CUST1091,45.0,Female,63.0,Month-to-Month,Electronic check,No,50.33,3170.79,Yes
91,CUST1092,73.0,Female,57.0,Month-to-Month,Credit card,No,59.17,2812.9114925373137,No
92,CUST1093,130.0,Male,61.0,Month-to-Month,Electronic check,No,118.03,7199.83,Yes
93,CUST1094,57.0,Female,12.0,Month-to-Month,Electronic check,No,37.32,2812.9114925373137,No
94,CUST1095,130.0,Female,68.0,Two year,Electronic check,Yes,76.69,5214.92,Yes
95,CUST1096,30.0,Female,23.0,One year,Bank transfer,Yes,71.1637037037037,2812.9114925373137,Yes
96,CUST1097,22.0,Male,31.0,Month-to-Month,Bank transfer,No,100.84,3126.04,Yes
97,CUST1098,18.0,Female,57.0,Month-to-Month,Electronic check,No,31.92,1819.44,Yes
98,CUST1099,46.0,Female,57.0,Two year,Electronic check,No,86.48,2812.9114925373137,No
99,CUST1100,5.0,Male,27.0,Two year,Electronic check,No,24.42,659.34,No
100,CUST1101,130.0,Female,1.0,Month-to-Month,Electronic check,Yes,38.51,38.51,No
101,CUST1102,20.0,Male,61.0,Month-to-Month,Credit card,No,71.1637037037037,2812.9114925373137,No
102,CUST1103,130.0,Female,50.0,Month-to-Month,Electronic check,No,50.76,2538.0,No
103,CUST1104,74.0,Female,53.0,Two year,Electronic check,No,59.07,3130.71,Yes
104,CUST1105,45.0,Female,14.0,Month-to-Month,Credit card,Yes,66.09,925.26,Yes
105,CUST1106,46.0,Female,50.0,Month-to-Month,Credit card,Yes,93.72,4686.0,Yes
106,CUST1107,36.0,Male,21.0,Month-to-Month,Mailed check,No,95.36,2002.56,No
107,CUST1108,71.0,Female,40.0,Month-to-Month,Electronic check,No,71.1637037037037,2812.9114925373137,No
108,CUST1109,58.0,Male,57.0,One year,Electronic check,No,38.3,2812.9114925373137,No
109,CUST1110,51.0,Female,45.0,One year,Bank transfer,No,101.56,4570.2,No
110,CUST1111,130.0,Male,41.0,Month-to-Month,Credit card,No,75.01,2812.9114925373137,Yes
111,CUST1112,55.0,Female,49.0,Month-to-Month,Credit card,No,37.88,2812.9114925373137,No
112,CUST1113,33.0,Male,58.0,Month-to-Month,Mailed check,Yes,26.71,2812.9114925373137,Yes
113,CUST1114,23.0,Male,65.0,Month-to-Month,Electronic check,No,28.22,1834.3,Yes
114,CUST1115,46.0,Female,17.0,Month-to-Month,Credit card,No,89.25,1517.25,No
115,CUST1116,74.0,Male,21.0,Month-to-Month,Electronic check,Yes,81.04,1701.84,Yes
116,CUST1117,5.0,Male,58.0,Two year,Credit card,No,40.83,2368.14,Yes
117,CUST1118,41.0,Female,23.0,One year,Electronic check,Yes,87.97,2023.31,Yes
118,CUST1119,46.0,Male,46.0,Month-to-Month,Credit card,Yes,88.87,4088.02,No
119,CUST1120,58.0,unknown,47.0,Month-to-Month,Electronic check,Yes,34.62,1627.14,No
